北部地區   ,5/27,星期一,多雲,27-36
北部地區   ,5/28,星期二,多雲時晴,27-35
北部地區   ,5/29,星期三,多雲時陰短暫陣雨或雷雨,27-32
北部地區   ,5/30,星期四,多雲短暫陣雨或雷雨,26-31
北部地區   ,5/31,星期五,陰時多雲短暫陣雨或雷雨,26-30
北部地區   ,6/1,星期六,多雲短暫陣雨或雷雨,25-31
北部地區   ,6/2,星期日,多雲短暫陣雨或雷雨,26-33
中部地區   ,5/27,星期一,多雲短暫陣雨,26-36
中部地區   ,5/28,星期二,多雲短暫陣雨或雷雨,26-35
中部地區   ,5/29,星期三,多雲短暫陣雨或雷雨,26-35
中部地區   ,5/30,星期四,多雲時陰短暫陣雨或雷雨,26-33
中部地區   ,5/31,星期五,多雲短暫陣雨或雷雨,25-31
中部地區   ,6/1,星期六,多雲短暫陣雨或雷雨,25-32
中部地區   ,6/2,星期日,多雲短暫陣雨或雷雨,25-34
南部地區   ,5/27,星期一,多雲短暫陣雨,26-36
南部地區   ,5/28,星期二,多雲短暫陣雨或雷雨,26-35
南部地區   ,5/29,星期三,多雲時陰短暫陣雨或雷雨,27-35
南部地區   ,5/30,星期四,多雲時陰短暫陣雨或雷雨,26-34
南部地區   ,5/31,星期五,多雲時陰短暫陣雨或雷雨,25-32
南部地區   ,6/1,星期六,陰時多雲短暫陣雨或雷雨,25-33
南部地區   ,6/2,星期日,多雲短暫陣雨或雷雨,25-35
東部地區   ,5/27,星期一,多雲時晴,26-32
東部地區   ,5/28,星期二,多雲午後短暫雷陣雨,26-31
東部地區   ,5/29,星期三,多雲,26-31
東部地區   ,5/30,星期四,多雲短暫陣雨或雷雨,26-30
東部地區   ,5/31,星期五,多雲時陰短暫陣雨或雷雨,26-30
東部地區   ,6/1,星期六,多雲短暫陣雨或雷雨,26-30
東部地區   ,6/2,星期日,多雲,26-31
